Reporting Year,Building ID,MapLot,Year Added,Annual Report Received,Report Type,Buildings Included,Parent Building ID,Assessor Address,Address Point GIS,Property Type,Primary Property Type - Self Selected,Year Built,Property GFA - Self Reported (ft2),Grantee,Co_grantee,ENERGY STAR Score,Electricity Use - Grid Purchase (kWh),Electricity Use - Grid Purchase (kBtu),Natural Gas Use (therms),Natural Gas Use (kBtu),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),Kerosene Use (kBtu),District Chilled Water Use (kBtu),District Steam Use (kBtu),Electricity Use - Generated From Onsite Renewable Systems (kWh),Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Site EUI (kBtu/ft2),Weather Normalized Site EUI (kBtu/ft2),Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Source EUI (kBtu/ft2),Weather Normalized Source EUI (kBtu/ft2),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions Intensity (kgCO2e/ft2),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft2)
2017,438-2,161-73,2015,Yes,Parent,"438-2, 438-10, 498-3, 498-2, 498-6",,25 Dewolfe St,"8 Mill St
Cambridge, MA
(42.370159777, -71.117701636)",Nonresidential,Residence Hall/Dormitory,1926,210228,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,1904777,6499099,3161,316136,,,,,,,,14032660,,20847894,,99,,37620979,,179,,1504,7,5806,28
2016,241-45,144-1,2015,Yes,Parent,"241-45, 241-8, 241-4, 241-41",,2 Oxford St,"21 Kirkland St
Cambridge, MA
(42.376493187, -71.114829196)",Nonresidential,Laboratory,1958,254734,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,6371752.9,21740423.6,,,,,,,,,23578011.4,19683290.8,,65001725.8,63949202.3,255.2,251,115522749.4,114430362.9,453.5,449.2,4652.8,18.3,3711.7,
2017,333-2,136-2,2015,Yes,Single,,,480 Broadway,"24 Quincy St
Cambridge, MA
(42.374115755, -71.114583705)",Nonresidential,College/University,1963,60035,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,430861,1470097,,,,,,,,,1107376,3808140,,6385612,6622313,106,110,10304829,10625478,172,177,437,7,412,7
2017,668-16,52A-21,2015,Yes,Single,,,60 Vassar St,"21 Ames St
Cambridge, MA
(42.360504938, -71.088012674)",Nonresidential,College/University,1952,116490,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,2959853,10099020,67,6700,,,,,,,16222368,30750277,,57078365,,490,,84934172,,729,,3760,32,2039,18
2016,267-32,255-100,2015,Yes,Child,"267-10, 267-13, 267-12, 267-56, 267-50, 267-44, 267-32, 267-37, 267-35, 267-30, 267-28, 267-27, 267-24, 267-17, 267-16, 267-14, 267-31, 267-21, 267-43, 267-34, 267-18, 267-19, 267-19, 267-15, 267-10",,18 Cushing Court,"24-6 St Sauveur Ct
Cambridge, MA
(42.377087407, -71.152044205)",Residential,Multifamily Housing,1953,200633,Cambridge Housing Authority,,65,683629.9,2332545.6,155696.00071,15569600.1,,,,,,,,,,17902145.6,17854161.9,89.2,89,23672273.1,23596227.8,118,117.6,1052.6,5.2,17212.7,71.21
2018,680-13,47-90,2015,Yes,Single,,,100 Main St,"50 Memorial Dr
Cambridge, MA",College/University,College/University,1952,143950,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,192513.9,656857.6,6442.0018,644200.2,,,,,,,7763710.6,11403895.8,,20468664.2,,142.2,,24222009,,168.3,,1250.9,8.7,1024.8,7.12
2017,597-13,73-124,2015,Yes,Child,"597-13, 597-12, 597-11, 567-10, 597-9, 597-8, 597-7, 597-6, 597-5, 597-4, 597-3, 597-2, 597-17, 597-16, 597-15, 597-14, 597-1",,108 Harvard St,"131 Washington St
Cambridge, MA
(42.364958074, -71.096434588)",Nonresidential,Multifamily Housing,1942,200075,Cambridge Housing Authority,,46,1137674,3881744,148250,14825000,,,,,,,,,112843,19091764,19178336,95,96,28139945,28231182,141,141,1152,6,11289,56
2018,672-4,48-129,2015,Yes,Single,,,40 Ames St,"50 Ames St
Cambridge, MA",College/University,College/University,1964,112799,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,2055140.2,7012139.1,138.9999935,13900,,,,,,,7100819.5,20298000.4,,34424859,,305.2,,53552859.9,,474.8,,2260.3,20,20.7,0.18
2016,493-1,116-43,2016,No,Single,,,8 Dana St,"8 Dana St
Cambridge, MA
(42.369658188, -71.110344784)",Nonresidential,,,,"Crnc Realty, Llc",,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,466-11,116-23,2015,Yes,Single,,,334 Harvard St,"334 Harvard St
Cambridge, MA
(42.370423042, -71.10835104)",Residential,Multifamily Housing,1964,44724,334 Harvard St. LLC,C/O 5522-334 Harvard Street Cambridge Ll,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,699-2,55-9,2015,Yes,Single,,,144 Albany St,"144 Albany St
Cambridge, MA
(42.35988683, -71.098070067)",Nonresidential,College/University,1963,61937,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,,,766,76600,,,,,,,17696027,2013084,,19785711,,319,,20198280,,326,,1070,17,0,0
2017,99-4,179-87,2015,Yes,Child,"99-1, 99-4",,23 White St,"36 White St
Cambridge, MA
(42.389130178, -71.118073783)",Nonresidential,Retail Store,1955,175898,"Hekimian, James S. &","Kaig Der Manuelian, Trs.",,5479101,18694694,48960,4896000,,,,,,,,,,23590694,23990488,134,136,63842138,64629012,363,367,1693,10,5997,34
2016,42-9,265D-53,2015,Yes,Parent,"42-9, 42-12",,1 Alewife Pl,"1 Alewife Pl
Cambridge, MA
(42.398234453, -71.140041555)",Nonresidential,Office,1983,141540,Cambridge  I  Associates Ltd Partnership,C/O Properties At Cambridgepark II LLC,,2175743.7,7423638.3,18896.999425,1889699.9,,,,,,,,,,9313338.3,9287282,65.8,65.6,25294409.3,25267050.2,178.7,178.5,818.6,5.8,685,
2016,699-13,55-9,2015,Yes,Single,,,144 Albany St,"170 Albany St
Cambridge, MA
(42.359676822, -71.098531535)",Nonresidential,College/University,1962,16137,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,,,,,,,,,,,9258239.6,682967.9,,9941207.5,,616.1,,10079878.1,,624.6,,533.3,33,,
2018,385-50,85-76,2016,No,Single,,,284 Norfolk St,"141 Hampshire St
Cambridge, MA",,,,,"Norshire Llc,",,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,131-21,153-59,2017,No,,,,2 Newport Rd,"6 Newport Rd
Cambridge, MA
(42.385877842, -71.119114038)",Residential,,,,"Oleary, Donal & Roby M. Fader",X,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,59-30,268B-47,2015,Yes,Single,,,400 Rindge Ave,"362 Rindge Ave
Cambridge, MA",Multifamily Housing,Multifamily Housing,1972,249723,Rindge Associates,,75,1148099.9,3917317.2,167265.001,16726500.1,,,,,,,,,,20643817.3,21364802.5,82.7,21364802.5,29863201.2,30897776.8,119.6,30897776.8,1188.8,4.8,4878.8,19.54
2018,597-13,73-124,2015,Yes,Child,"597-13, 597-12, 597-11, 567-10, 597-9, 597-8, 597-7, 597-6, 597-5, 597-4, 597-3, 597-2, 597-17, 597-16, 597-15, 597-14, 597-1",,108 Harvard St,"131 Washington St
Cambridge, MA",Multifamily Housing,Multifamily Housing,1942,200075,Cambridge Housing Authority,,44,1111050.9,3790906,144050.0012,14405000.1,,,,,,,,,106946,18560805.9,19411362,92.8,19411362,28174480.3,28286935.1,140.8,28286935.1,1083.8,5.4,12571.8,62.84
2018,614-7,29-34,2015,Yes,Single,,,303 Third St,"303 Third St
Cambridge, MA",Multifamily Housing,Multifamily Housing,2009,280484,303 Third Spe Llc,C/O Eqr-R.E. Tax Department,42,2850271.6,9725128,97414.00097,9741400.1,,,,,,,,,,19466528.1,19769512.7,69.4,19769512.7,40765372.1,40891265.7,145.3,40891265.7,1263.1,4.5,8989.7,32.05
2017,245-58,257-47,2015,Yes,Child,"245-34, 245-11, 245-16, 245-2, 245-26, 245-27, 245-28, 245-29, 245-3, 245-30, 245-31, 245-32, 245-33, 245-35, 245-36, 245-37, 245-38, 245-39, 245-4, 245-40, 245-41, 245-42, 245-43, 245-44, 245-45, 245-46, 245-47, 245-48, 245-5, 245-50, 245-51, 245-52, 245-53, 245-54, 245-55, 245-56, 245-57, 245-58, 245-59, 245-6, 245-60, 245-61, 245-62, 245-63, 245-64, 245-65, 245-66, 245-8, 245-9",,676-694 Huron Ave,"22 Fresh Pond Pl
Cambridge, MA
(42.380170328, -71.153242199)",Residential,Multifamily Housing,1979,57875,"Gamble, Lincoln Bradley",,100,85390,291352,4244,424398,,,,,,,,,,715750,742792,12,13,1360462,1398931,24,24,47,1,172,3
2018,59-36,268A-48,2015,Yes,Child,"59-25, 59-38, 59-39, 59-42, 59-22, 59-31, 59-37, 59-36, 59-40",,,"76 Jackson Cir
Cambridge, MA",Multifamily Housing,Multifamily Housing,1952,207765,Cambridge Housing Authority,,55,1249084.9,4261878.1,120102.9967,12010299.7,,,,,,,,,92299,16272177.7,16679673.3,78.3,16679673.3,25993111.8,26420982.2,125.1,26420982.2,964.7,4.6,15875.9,76.41
2018,195-9,212-29,2018,No,,,,91 Walker St,"91 Walker St
Cambridge, MA",,,,,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,
2016,549-21,27-86,2016,Yes,Single,,,205 Bent St,"173 Bent St
Cambridge, MA
(42.367162369, -71.082276789)",Nonresidential,Data Center,1938,5600,"Lohnes, Paul R., Tr. Of The Alexander",Graham Bell Trust,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,388-22,35-85,2015,Yes,Child,"388-4, 388-22",,170 Gore St,"599 Cambridge St
Cambridge, MA
(42.37188938, -71.086386903)",Residential,Multifamily Housing,1988,147000,Pacheco-Pavillion Limited Partnership,,90,987515,3369401,23048,2304800,,,,,,,,,,5674201,5792459,39,39,12999960,13193322,88,90,410,3,4347,30
2017,466-12,116-83,2015,No,Single,,,10 Dana St,"10 Dana St
Cambridge, MA
(42.370221312, -71.109964171)",Residential,,,,"Christian, Robert Cooper",,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,549-18,27-86,2016,Yes,Single,,,205 Bent St,"179 Bent St
Cambridge, MA
(42.367215394, -71.082699789)",Nonresidential,Data Center,1938,28100,"Lohnes, Paul R., Tr. Of The Alexander",Graham Bell Trust,,7981189,27231821,500,50047,,,,,,,,,,27281867,27288752,971,971,85560466,85567694,3045,3045,2329,83,19,1
2016,338-15,82-8,2015,Yes,Single,,,354 Prospect Street,"1221 Cambridge St.
Cambridge, MA
(42.373350387, -71.097689677)",Residential,Multifamily Housing,1974,102610,Inman Cast LLC,C/O Homeowners Rehab Inc.,90,494398.9,1686889.4,47653.12433,4765312.4,,,,,,,,,,6452201.8,6441850,62.9,62.8,10300410.7,10289541.3,100.4,100.3,416.3,4.1,3207.6,31.26
2016,707-6,95-74,2016,Yes,Single,,,167 Sidney St,"167 Sidney St
Cambridge, MA
(42.358642155, -71.104611854)",Nonresidential,Laboratory,1965,26589,"Mit 170/171 Sidney Llc C/O Are Equities,",C/O Are-Ma Region No.23 Llc,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,261-3,216-34,2015,Yes,Single,,,24-26 Concord Ave,"24 Concord Ave
Cambridge, MA",Multifamily Housing,Multifamily Housing,1890,56320,"Leeder, Earle & Judith Leeder, Trs.",C/O Leeder Mgmt Co.,81,209437,714599.1,41984.94619,4198494.6,,,,,,,,,,4913093.7,5111100.1,87.2,5111100.1,6652260.5,6850283.4,118.1,6850283.4,277.8,4.9,2945.3,52.3
2016,672-5,48-129,2015,Yes,Single,,,40 Ames St,"20 Ames St
Cambridge, MA
(42.360902245, -71.088142512)",Nonresidential,College/University,1984,120331,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,1658978.3,5660434.6,,,,,,,,,5987339.6,5583142.2,,17230916.4,,143.2,,30477853.7,,253.3,,1233.9,10.3,332.9,
2017,708-21,57-171,2015,Yes,Single,,,106 Vassar St,"106 Vassar St
Cambridge, MA
(42.359772322, -71.095588785)",Nonresidential,College/University,1980,109398,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,1484132,5063859,6449,644900,,,,,,,2643396,3258426,,11610581,,106,,23141078,,212,,823,8,1242,11
2017,24-3,269-132,2015,Yes,Single,,,1 Alewife Ctr,"1 Alewife Ctr
Cambridge, MA
(42.398234453, -71.140041555)",Nonresidential,Office,1988,89875,Jcc One Alewife Parkway LLC,C/O Colony Realty Partners,,1994279,6804480,,,,,,,,,,,,6804480,6889114,76,77,21366069,21631818,238,241,581,7,41496,462
2018,245-50,257-47,2015,Yes,Child,"245-2, 245-4, 245-3, 245-50, 245-6, 245-9, 245-38, 245-11",,676-694 Huron Ave,"27 Fresh Pond Pl
Cambridge, MA",Multifamily Housing,Multifamily Housing,1979,57875,"Gamble, Lincoln Bradley",,62,694162.1,2368481.4,6035.402316,603540.2,,,,,,,,,,2972021.7,3036748.3,51.4,3036748.3,8070749,8211986.7,139.5,8211986.7,213.7,3.7,371.8,6.42
2018,318-35,159-1,2015,Yes,Single,,,1341 Massachusetts Ave,"11 Quincy St
Cambridge, MA",College/University,College/University,1948,149975,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,651644.7,2223412,,,,,,,,,1745206.8,1700031.1,,5668649.9,5719013.7,37.8,5719013.7,10771927.8,10837350.7,71.8,10837350.7,375.3,2.5,963.3,6.42
2018,437-6,161-58,2015,Yes,Child,"437-10, 437-5, 437-6, 437-7",,48 Mill St,"32 Mill St
Cambridge, MA",Residence Hall/Dormitory,Residence Hall/Dormitory,1916,182097,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,,,,,,,,,,,,4232096.7,,5721828.9,,31.4,,9769145.2,,53.6,,395.2,2.2,3722.2,20.44
2016,468-9,9-41,2015,Yes,Single,,,10 Canal Pk,"10 Canal Pk
Cambridge, MA
(42.369790022, -71.075470968)",Nonresidential,Office,1983,135710,"BP-Ten Canal Park, L.L.C.",C/O Bcsp Cambridge Ten Property LLC,84,2061550.5,7034011.1,,,,,,,,,,,,7034011.1,7034011.1,51.8,51.8,22086794.8,22086794.8,162.7,162.7,680.5,5,2103.6,15.5
2016,591-9,30-42,2015,Yes,Single,,,15 Cambridge Ctr,"15 Cambridge Ctr
Cambridge, MA
(42.364712467, -71.089001711)",Nonresidential,Laboratory,1999,245405,North Parcel Limited Partnership,"Attn:  Russell Smith, Associate Tax Dir",,16147163.9,55094130,,,,,,,,,,66320919.1,,121415049.1,119466233.1,494.8,486.8,252782359.4,249311526.6,1030.1,1015.9,9733.7,39.7,14717.2,
2018,417-30,39-173,2016,No,Single,,,1 Kendall Sq-3,"399 Binney St
Cambridge, MA",,,,,"ARE-Ma Region No. 58, Llc",,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,534-1,32-53,2015,Yes,Single,,,117 Sixth St,"320 Charles St
Cambridge, MA
(42.368364652, -71.086987553)",Nonresidential,Laboratory,1952,99513,"BMR-320 Charles LLC,",,,2498426,8524630,229880,22988001,,,,,,,,,,31512631,31408296,317,316,50904739,50577127,512,508,1949,20,2418,24
2017,357-2,160-14,2015,Yes,Parent,"357-2, 357-3",,1336-1362 Massachusetts Ave,"30 Dunster St
Cambridge, MA
(42.372452881, -71.119193931)",Nonresidential,Office,1964,198740,President & Fellow Of Harvard,Harvard University R.E. Dept,100,1054564,3598172,25647,2564664,,,,,,,1651602,,,7814438,8027628,39,40,15642759,15870219,79,80,531,3,,
2018,456-3,86-105,2015,Yes,Single,,,87 Elm St,"89 Elm St
Cambridge, MA",K-12 School,K-12 School,1983,58323,Cambridge City Of,School Dept,68,335990.5,1146399.9,26137.76949,2613776.9,,,,,,,,,,3760176.8,3937280.3,64.5,3937280.3,6344161.4,6552792.3,108.8,6552792.3,226.7,3.9,40256.9,690.24
2016,539-9,119-82,2015,Yes,Single,,,888 Massachusetts Avenue,"888 Massachusetts Ave
Cambridge, MA
(42.367927318, -71.107953919)",Residential,Multifamily Housing,1899,44307,"Papas, Arthur M., Tr. Of",Jemtak Realty Trust,95,142777,487155.1,26426.001119,2642600.1,,,,,,,,,,3129755.2,3093702.6,70.6,69.8,4304397.2,4266542,97.1,96.3,187.5,4.2,848.6,19.15
2016,184-3,208-15,2015,Yes,Child,"184-1, 184-2, 184-3, 184-8, 184-4, 184-5, 184-6, 184-7, 188-2, 188-1",,4-46 Fernald Drive,"28 Fernald Dr
Cambridge, MA
(42.383025367, -71.126311736)",Residential,Multifamily Housing,1949,202814,President & Fellows Of Harvard College,C/O Harvard Resl Estate Inc,97,639458.7,2181833.5,79404.3948996,7940439.5,,,,,,,,,,10122273,10092072.4,49.9,49.8,15188418.6,15134505.4,74.9,74.6,632.8,3.1,4905.2,24.19
2016,333-6,136-2,2015,Yes,Single,,,480 Broadway,"11 Prescott St
Cambridge, MA
(42.372843244, -71.114047034)",Nonresidential,College/University,1833,11320,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,8935.4,30487.6,,,,,,,,,,402530.3,,433018,427056.7,38.3,37.7,579991.7,572820.1,51.2,50.6,29.7,2.6,85,
2018,611-1,15-28,2018,Yes,Single,,,50 Binney St,"50 Binney St
Cambridge, MA",Office,Office,2016,530477,"ARE-Ma Region No. 40 Llc,",C/O Thomson Reuters Pts,,10741832.7,36651137.6,,,,,,,,,,,,36651137.6,36349425.9,,36349425.9,115084572,114137197.5,,114137197.5,2810.1,5.3,6832,
2018,680-2,47-85,2015,Yes,Single,,,84 Wadsworth St,"60 Wadsworth St
Cambridge, MA",College/University,College/University,1967,172359,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,1114164.5,3801529.8,,,,,,,,,,10324517.8,,14126047.5,,82,,24357622.6,,141.3,,977,5.7,4896.7,28.41
2018,662-7,69-62,2015,Yes,Parent,"662-7, 662-11",,20 Sidney St,"20 Sidney St
Cambridge, MA",Supermarket/Grocery Store,Supermarket/Grocery Store,1999,42419,Massachusetts Institute Of Technology,Office Of The Treasurer,25,2277524.8,7770915.4,40553.00063,4055300.1,,,,,,,,,,11826215.5,11990801.5,278.8,11990801.5,28658739.4,28769565.3,675.6,28769565.3,811.2,19.1,1086,25.6
2016,241-9,144-1,2015,Yes,Single,,,2 Oxford St,"27 Kirkland St
Cambridge, MA
(42.376716423, -71.114045036)",Nonresidential,College/University,1963,40549,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,2112246.1,7206984.7,42.74331531,4274.3,,,,,,,3729107.2,5189984.9,,16130351.1,15856552.7,397.8,391,32607292.4,32315071.7,804.1,796.9,1238.6,30.5,446.8,
2016,385-56,85-76,2016,No,Single,,,284 Norfolk St,"288 Norfolk St
Cambridge, MA
(42.371300682, -71.097314155)",Nonresidential,,,,"Norshire Llc,",,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,318-6,159-1,2015,Yes,Single,,,1341 Massachusetts Ave,"25 Harvard Yard
Cambridge, MA
(42.374591581, -71.118649567)",Residential,Residence Hall/Dormitory,1812,28272,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",89,86423.1,294875.6,1733.966781,173396.7,,,,,,,,1345000,,1813272.4,1809850,64.1,64,2726066.3,2721949.1,96.4,96.3,127,4.5,478.2,
2016,24-3,269-132,2015,Yes,Single,,,1 Alewife Ctr,"1 Alewife Ctr
Cambridge, MA
(42.398234453, -71.140041555)",Nonresidential,Office,1988,90000,"Brookwood Alewife Center Investors, LLC",C/O Jcc One Alewife Parkway LLC,48,2405335.8,8207006.7,,,,,,,,,,,,8207006.7,8176423.1,91.3,91,25770001.2,25673968.6,286.7,285.7,794,,1435.3,11.34
2016,355-2,168-60,2015,Yes,Parent,"355-2, 355-3",,4-12 Story St,"46 Brattle St
Cambridge, MA
(42.373966324, -71.121591794)",Nonresidential,Office,1970,61666,President And Fellows Of Harvard College,1350 Massachusetts Ave.,89,568033.5,1938130.5,23356.9583151,2335695.8,,,,,,,,,,4273826.4,4173771.4,69.3,67.7,8538210.5,8359341.7,138.5,135.6,311.6,5.1,856.1,
2016,674-5,48-107,2016,Yes,Single,,,264 Main St,"55 Hayward St
Cambridge, MA
(42.362059359, -71.085240691)",Nonresidential,Office,1890,43981,Massachusetts Institute Of Technology,Office Of The Treasurer,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,520-1,88-11,2015,Yes,Single,,,243 Harvard Street,"243 Harvard Street
Cambridge, MA
(42.36805452, -71.101043587)",Municipal,Other - Recreation,1993,19405,City Of Cambridge,,,178939.3,610541,16347.394736,1634739.5,,,,,,,,,,2245280.5,2221322.8,115.7,114.5,3633575.3,3593131.8,187.2,185.2,145.9,7.5,,
2017,69-11,267.4-311,2015,Yes,Child,"69-9, 69-11",,55 Wilson Rd,"36 Smith Pl
Cambridge, MA
(42.390898353, -71.150740735)",Nonresidential,Office,1970,63500,"DIV Fresh Pond 40 SMITh Place, LLC.",,,1658417,5658518,56413,5641326,,,,,,,,,,11299844,11571260,178,182,23691140,23880537,373,376,783,12,18,0
2017,266-17,157-69,2015,Yes,Single,,,1526-1587 Massachusetts Ave,"1805 Cambridge St
Cambridge, MA
(42.37565267, -71.11535177)",Nonresidential,College/University,1931,90341,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,631329,2154095,,,,,,,,,1289162,3212651,,6655907,6845467,74,76,11917970,12133333,132,134,465,5,854,9
2017,708-19,57-131,2015,Yes,Single,,,120 Massachusetts Ave,"100 Massachusetts Ave
Cambridge, MA
(42.359642049, -71.094235531)",Nonresidential,College/University,1959,46574,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,1207200,4118968,,,,,,,,,,8023679,,12142647,,261,,22586374,,485,,885,19,3781,81
2017,59-36,268A-48,2015,Yes,Child,"59-25, 59-38, 59-39, 59-42, 59-22, 59-31, 59-37, 59-36, 59-40",,21-132 Jackson Pl,"109 Jackson Pl
Cambridge, MA
(42.392244386, -71.135091943)",Nonresidential,Multifamily Housing,1952,207765,Cambridge Housing Authority,,29,1727558,5894427,116045,11604500,,,,,,,,,100486,17841785,18275738,86,88,31036084,31330406,149,151,1149,6,15671,75
2016,453-27,116-12,2016,Yes,Child,"453-3, 453-27, 453-4",,1003 Massachusetts Ave,"1001 Massachusetts Ave
Cambridge, MA
(42.369429487, -71.111412394)",Nonresidential,Mixed Use Property,1960,40000,"Simon, Richard & William C.Kaplan,Trs.",C/O Eastport Real Estate Services,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,81-9,265A-43,2015,Yes,Single,,,220 Alewife Brook Pkwy,"220 Alewife Brook Pkwy
Cambridge, MA",Hotel,Hotel,2010,62000,"220 Alewife Brook Parkway, Llc",C/O Hersha Hospitality Management L.P,72,741868.9,2531257,21603.99978,2160400,,,,,,,,,,4691657,4718838.3,75.7,4718838.3,10216567,10245107.3,164.8,10245107.3,308.8,5,3332,53.74
2016,411-1,80-165,2015,Yes,Child,"411-9, 392-23, 392-22, 392-21, 392-20, 392-19, 392-8, 411-8, 392-17, 411-7, 392-16, 411-6, 411-5, 398-13, 411-4, 411-3, 411-29, 411-28, 411-27, 411-26, 411-25, 411-24, 411-23, 411-22, 411-21, 411-20, 411-19, 411-18, 411-14, 411-13, 411-11, 411-10, 411-1, 392-9, 392-8, 392-4",,427 Windsor Street,"1 Citizens Pl
Cambridge, MA
(42.371629658, -71.095065046)",Residential,Multifamily Housing,2014,51344,"Harwell Homes, Inc.",C/O Meredith Ma Corp,62,250558.7,854906.4,38365.99781,3836599.8,,,,,,,,,,4691506.2,4611172,91.4,89.8,6712835.9,6598501,130.7,128.5,286.5,5.6,2454.4,
2016,59-16,268A-32,2015,Yes,Parent,"59-16, 59-27, 59-25, 59-22, 59-19, 59-42 ,59-40, 59-39, 59-38, 59-37, 59-36, 59-31, 59-28",,324 Rindge Ave,"12 Jefferson Pk
Cambridge, MA
(42.392726654, -71.1351202)",Residential,Multifamily Housing,1952,207765,Cambridge Housing Authority,,63,1111397.9,3792090,125225.0028,12522500.3,,,,,,,,,93191,16632557.9,16594658.7,80.1,79.9,25373755.5,25334596.6,122.1,121.9,1062.8,5.1,16211.8,68.57
2016,320-11,142-112,2015,Yes,Single,,,1697 Cambridge St,"1699 Cambridge St
Cambridge, MA
(42.375197377, -71.111868826)",Residential,Multifamily Housing,1981,39000,Condo Association,,87,114601,391018.6,5132.999933,513300,,1757236.8,,,,,,,,2661555.3,2592111.6,68.2,66.5,3541572.5,3471434.3,90.8,89,195.5,5,1781.9,45.69
2017,708-16,57-171,2015,Yes,Single,,,106 Vassar St,"410-R Memorial Dr
Cambridge, MA
(42.355646673, -71.09794121)",Nonresidential,College/University,1971,27388,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,174923,596837,18377,1837700,,,,,,,,,,2434537,,89,,3803654,,139,,149,5,0,0
2018,568-2,42-86,2016,Yes,Single,,,205 Broadway,"50 Hampshire St
Cambridge, MA",Office,Office,1999,202023,"Bmr-Hampshire Llc,",,,3899159.5,13303933.9,49529.00319,4952900.3,,,,,,,,,,18256834.2,18510037.2,90.4,18510037.2,46974897.7,47240760.9,232.5,47240760.9,1283.1,6.4,2268.1,11.23
2018,68-37,195-169,2015,No,Single,,,120-124 Rindge Ave,"124 Rindge Ave
Cambridge, MA",,,,,"Bos Apt 1., Llc",,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,206-10,213-2a,2015,Yes,Parent,"206-10, 206-5, 206-4, 206-1, 206-9",,52-70 Linnaean St,"56 Linnaean St
Cambridge, MA
(42.382834522, -71.124807224)",Nonresidential,Residence Hall/Dormitory,1938,218516,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,1372827,4684086,156735,15673478,,,,,,,,,,20357564,,93,,31165183,,143,,1233,6,6484,30
2017,318-20,159-1,2015,Yes,Single,,,1341 Massachusetts Ave,"10 Harvard Yard
Cambridge, MA
(42.374306358, -71.118769905)",Nonresidential,Residence Hall/Dormitory,1926,27179,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",93,113306,386599,1707,170714,,,,,,,,766066,,1323380,1414389,49,52,2314780,2423421,85,89,93,3,359,13
2018,557-19,41-38,2015,Yes,Single,,,1A Kendall Sq,"400 One Kendall Square
Cambridge, MA",Office,Office,1988,25932,ARE-Ma Region No. 59 Llc,,6,1026241.9,3501537.9,,,,,,,,,,,,3501537.9,3501537.9,135,3501537.9,10994829,10994829,424,10994829,268.5,10.4,7605.7,293.29
2017,266-21,157-69,2015,Yes,Single,,,1525-1587 Massachusetts Ave,"17 Oxford St
Cambridge, MA
(42.377740758, -71.116298335)",Nonresidential,Laboratory,1882,53329,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,752673,2568120,2,200,,,,,,,5893605,1768961,,10230885,10229322,192,192,16085843,16110314,302,302,648,12,296,6
2018,747-4,62-34,2015,Yes,Single,,,560 Memorial Dr,"290 Vassar St
Cambridge, MA",College/University,College/University,1963,9321,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,0,0,0,0,,,,,,,0,0,,0,,0,,0,,0,,0,,0,0
